iter	Passed	Remaining
0	150	150287
1	152	76016
2	156	52060
3	157	39323
4	160	31988
5	165	27486
6	174	24683
7	177	21983
8	184	20368
9	187	18543
10	193	17403
11	197	16275
12	201	15311
13	202	14280
14	204	13418
15	205	12667
16	209	12128
17	214	11701
18	223	11517
19	227	11141
20	230	10729
21	240	10679
22	244	10399
23	253	10314
24	255	9946
25	261	9814
2626	284	10252
27	285	9928	28	292	9781
29	299	9630	30	304	9520
31	306	9263
32	310	9086
33	314	8929
34	320	8827
35	322	8636	312	8135
37	314	7953
38	321	7924
39	327	7865
40	328	7689
41	329	7519
42	331	7372
43	43	353	7675
44	356	7567
45	361	7546	46	370	7515
47	374	7424
48	376	7299
49	381	7242
50	386	7190
51	394	7195
52	396	7078
53	400	7016
54	404	6946
55	412	6955
56	414	6864
57	416	6763
58	419	6690
59	420	6592
60	422	6499
61	439	6652
62	444	6614
63	448	6564
64	449	6469
65	450	6382
66	455	6345
67	459	6292
68	463	6247
69	465	6190
70	469	6145
71	471	6072
72	473	6017
73	475	5944
74	476	5871
75	477	5804
76	488	5856
77	495	5856
78	501	5849
79	502	5779
80	507	5761
81	508	5693
82	513	5672
83	515	5617
84	525	5656
85	527	5600
86	532	5589
87	536	5563
88	540	5527
89	549	5552
90	551	5507
91	552	5492	541	5279
93	542	5228
94	546	5202
95	95	562	5296	96	563	5297	97	564	5198	98	567	5199	99	568	51100100	572	50101	565	4975
102	574	5001
103	578	4981
104	581	4959
105	586	4949
106	590	4932
107	593	4899
108	598	4895
109	611	4944
110	615	4933
111	616	4890
112	621	4876
113	624	4851
114	627	4825
115	628	4785
116	629	4753
117	636	4757
118	637	4719
119	638	4685
120	640	4652
121	641	4616
122	643	4586
123	644	4555
124	649	4545
125	653	4532
126	654	4499
127	655	4467
128	657	4438
129	659	4415
130	665	4413
131	669	4402
132	674	4396
133	676	4369
134	682	4369
135	683	4344
136	689	4344
137	693	4333
138	704	4363
139	710	4363
140	711	4334
141	713	4308
142	716	4296
143	721	4286
144	725	4276
145	726	4251
146	734	4263
147	739	4256
148	740	4230
149	742	4206
150	743	4182
151	746	4162
152	747	4137
153	750	4123
154	761	4148
155	762	4127
156	768	4127
157	770	4103
158	771	4079
159	772	4057
160	778	4056
161	780	4036
162	789	4054
163	792	4040
164	794	4021
165	796	4003
166	798	3981
167	803	3976
168	809	3980
169	814	3977
170	819	3972
171	821	3952
172	822	3931
173	823	3911
174	833	3927
175	834	3907
176	835	3884
177	839	3878
178	840	3856
179	842	3836
180	846	3831
181	852	3830
182	857	3827
183	858	3807
184	860	3789
185	861	3770
186	862	3751
187	872	3766
188	873	3747
189	873	3725
190	875	3706
191	876	3689
192	880	3682
193	883	3671
194	884	3651
195	886	3638
196	897	3657
197	907	3675
198	908	3656
199	909	3639
200	913	3631
201	916	3619
202	920	3612
203	923	3604
204	925	3587
205	928	3577
206	929	3560
207	940	3580
208	942	3565
209	943	3548
210	945	3535
211	950	3534
212	952	3517
213	961	3531
214	966	3527
